,model_name,MAE,RMSE,nRMSE,MAPE,evaluation
0,ARIMA,0.2196557191784301,0.2918643093450578,0.24734263503797496,0.4196545372303066,Whole-train split
1,SARIMA1,0.13908908229101688,0.2341734197459276,0.19845205063197385,0.21859190009544183,Whole-train split
2,SARIMA2,0.13940287228140388,0.23317157709286782,0.19760303143446628,0.22163688541120163,Whole-train split
3,ARIMA,0.24700180373911065,0.3360919534335335,0.2940487437707902,,Walk-forward mean
4,SARIMA1,0.198292583078895,0.3067163352557876,0.277173371208966,,Walk-forward mean
5,SARIMA2,0.2007115958498274,0.30929713428932015,0.28176777734503256,,Walk-forward mean
