,Mean,Variance,Std,Min,Max
Original,0.6599699555341907,1.2254630159241444,1.1070063305709432,0.0,4.81
Deletion,0.6599699555341907,1.2254630159241446,1.1070063305709432,0.0,4.81
Univariate,0.6605828290900788,1.2200487319139006,1.1045581613993447,0.0,4.81
Multivariate,0.6579703025256465,1.2186481972822547,1.1039239997763681,0.0,4.81
